,solar_irradiance,wind_speed,temperature
2022-01-01 00:00:00,0.0,1.86,0.0
2022-01-01 01:00:00,0.0,2.02,0.0
2022-01-01 02:00:00,0.0,2.07,0.0
2022-01-01 03:00:00,0.0,2.23,0.0
2022-01-01 04:00:00,0.0,2.36,0.0
2022-01-01 05:00:00,0.0,2.51,0.0
2022-01-01 06:00:00,0.0,2.55,0.0
2022-01-01 07:00:00,68.12,2.78,0.0
2022-01-01 08:00:00,228.88,2.68,0.0
2022-01-01 09:00:00,382.05,2.64,0.0
2022-01-01 10:00:00,506.5,2.08,0.0
2022-01-01 11:00:00,416.7,2.89,0.0
2022-01-01 12:00:00,382.1,3.28,0.0
2022-01-01 13:00:00,345.55,3.33,0.0
2022-01-01 14:00:00,257.55,3.25,0.0
2022-01-01 15:00:00,128.98,2.48,0.0
2022-01-01 16:00:00,20.52,1.54,0.0
2022-01-01 17:00:00,0.0,1.11,0.0
2022-01-01 18:00:00,0.0,1.28,0.0
2022-01-01 19:00:00,0.0,1.52,0.0
2022-01-01 20:00:00,0.0,1.79,0.0
2022-01-01 21:00:00,0.0,1.93,0.0
2022-01-01 22:00:00,0.0,2.06,0.0
2022-01-01 23:00:00,0.0,2.1,0.0
2022-01-02 00:00:00,0.0,2.16,0.0
2022-01-02 01:00:00,0.0,2.43,0.0
2022-01-02 02:00:00,0.0,2.53,0.0
2022-01-02 03:00:00,0.0,2.35,0.0
2022-01-02 04:00:00,0.0,2.1,0.0
2022-01-02 05:00:00,0.0,2.04,0.0
2022-01-02 06:00:00,0.0,2.03,0.0
2022-01-02 07:00:00,25.8,2.24,0.0
2022-01-02 08:00:00,119.47,2.53,0.0
2022-01-02 09:00:00,200.73,4.01,0.0
2022-01-02 10:00:00,234.02,4.97,0.0
2022-01-02 11:00:00,256.6,5.12,0.0
2022-01-02 12:00:00,229.65,5.29,0.0
2022-01-02 13:00:00,193.52,5.37,0.0
2022-01-02 14:00:00,160.12,5.16,0.0
2022-01-02 15:00:00,80.75,4.14,0.0
2022-01-02 16:00:00,13.73,3.35,0.0
2022-01-02 17:00:00,0.0,2.86,0.0
2022-01-02 18:00:00,0.0,2.59,0.0
2022-01-02 19:00:00,0.0,2.67,0.0
2022-01-02 20:00:00,0.0,2.43,0.0
2022-01-02 21:00:00,0.0,2.1,0.0
2022-01-02 22:00:00,0.0,1.83,0.0
2022-01-02 23:00:00,0.0,1.71,0.0
2022-01-03 00:00:00,0.0,1.6,0.0
2022-01-03 01:00:00,0.0,1.54,0.0
2022-01-03 02:00:00,0.0,1.38,0.0
2022-01-03 03:00:00,0.0,1.5,0.0
2022-01-03 04:00:00,0.0,1.65,0.0
2022-01-03 05:00:00,0.0,1.68,0.0
2022-01-03 06:00:00,0.0,2.04,0.0
2022-01-03 07:00:00,46.28,2.48,0.0
2022-01-03 08:00:00,190.23,2.51,0.0
2022-01-03 09:00:00,357.62,2.17,0.0
2022-01-03 10:00:00,439.85,1.85,0.0
2022-01-03 11:00:00,329.77,2.29,0.0
2022-01-03 12:00:00,292.67,2.48,0.0
2022-01-03 13:00:00,422.42,2.46,0.0
2022-01-03 14:00:00,225.9,2.6,0.0
2022-01-03 15:00:00,119.88,2.19,0.0
2022-01-03 16:00:00,21.92,1.57,0.0
